idx,area,name,addr1,addr2,zipcode,open_info,close_info,type,target1_code,target1_etc,target2_code,target2_etc,item_code,item_etc,lat,lng,sup_obj,sup_num,sup_item,storeType,img_src
673,광진구,주식회사 중원디앤케이,서울 광진구 천호대로119길 6,1층 사무실,6,평일 오전 9:00 ~ 오후 5:00,"주말,공휴일",99,1,,1,,99,핫팩 한달치 30개. 매달 지급^^,37.55515978,127.0861322,결식아동,아이 본인만,핫팩 한달치 3개. 매달 지급^^,제조업체,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/673/aae330742ab84004a9ede0700d05b5c2.jpg
301,구로구,잉크마루,서울 구로구 개봉로 50,1층 잉크마루,17,오전 10시부터 오후 7시까지,"일요일,공휴일",99,1,,1,,99,"잉크충전, 출력, 복사, 코팅",37.49012558,126.8563095,결식아동,아이 본인만,"잉크충전, 출력, 복사, 코팅",,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/301/62e8dc91469b40e6a43eeb55dd3b3ef5.jpg
522,구로구,곱창의축복,서울 구로구 경인로 331,007호 곱창의축복,17,오후 12시 저녁 9시,일요일,1,99,"본인과 가족(어린이, 청소년)",1,,99,"곱창, 국밥",37.49769182,126.8569352,결식아동,"본인과 가족(어린이, 청소년)","곱창, 국밥",술집,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/522/5537f9d0a10f45e2a0042b4ece072b61.jpg
494,구로구,어부식당,서울 구로구 구로동 212-8,지하115호 식당가,17,11-20시,공휴일 및 주말,1,3,,1,,1,,37.48367843,126.8954191,결식아동,동반 2인,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/494/8723ecee779a4e2a88bafeb8d4ccfc7f.jpg
101,구로구,육회지존(개봉역점),서울 구로구 남부순환로97길 20-7,201호 육회지존,17,16:30~익일 02:00,별도공지,1,99,가족 구성원 전부 가능,"01,02",,99,"육회비빔밥,연어장덮밥,외 모든 식사류",37.49391885,126.8588797,"결식아동,독거노인",가족 구성원 전부 가능,"육회비빔밥,연어장덮밥,외 모든 식사류",음식점,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/101/49b0fc75d3d54eb2bf8798d1eaeaa929.jpg
548,구로구,오로지라멘 구로지타워몰점,서울 구로구 디지털로26길 38,1층 113호,17,11:00 ~ 21:00,15:00~17:00,1,2,,"01,02",,99,"차슈동, 교자, 가라아게",37.4798477,126.8953185,"결식아동,독거노인",동반 1인,"차슈동, 교자, 가라아게",쇼핑몰,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/548/e53361f36eff4fa9a299c7b4caba1e89.jpeg
780,금천구,이레가구,서울 금천구 금하로23길 33,이레가구,18,10:00-20:00,매주 주일(일요일),3,1,,1,,99,책상/의자,37.45278001,126.9085988,결식아동,아이 본인만,책상/의자,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/780/4cefc30994534fb0a00670dbc381284a.jpg
856,금천구,티엔티 스피치,서울 금천구 디지털로9길 46,306호,18,오전 10시 ~ 밤 10시,일요일,2,1,,1,,99,보이스 트레이닝 (예약 필수),37.48005881,126.8871007,결식아동,아이 본인만,보이스 트레이닝 (예약 필수),사무실 임대업체,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/856/3664ddfb439a43caa9eceda98df17ec9.jpg
850,금천구,더카페 이네스트점,서울 금천구 범안로 1155,1층 더카페 이네스트점,18,07:30~21:00,,1,2,,"01,02",,99,"음료1, 베이커리1",37.46681871,126.8900295,"결식아동,독거노인",동반 1인,"음료1, 베이커리1",카페,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/850/4d74ce9ba5534809b045116dd9ae879a.jpg
656,노원구,라라브레드,서울 노원구 공릉동 350-22,라라브레드1층,12,10:00~21:00,x,1,1,,1,,99,직원선택 2종,37.62493456,127.0777431,결식아동,아이 본인만,직원선택 2종,,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png
884,노원구,올가드림뷰티 공릉점,서울 노원구 공릉로34길 86,태릉해링턴플레이스 상가 2층 올가드림,12,오전10시~오후8시,"월요일,토요일,일요일",99,1,,"01,02",,99,"모공케어,여드름케어",37.62576537,127.081601,"결식아동,독거노인",아이 본인만,"모공케어,여드름케어",,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/884/bf4e45b6b2704e4388184e13eda0903e.jpg
924,노원구,헤스론,서울 노원구 덕릉로73길 28,상가동 209호,12,평일 :13시-20시30분 / 토요일 : 11시-18시,"매주 일요일,월요일 정기휴무",1,1,,1,,99,구움과자류,37.65247558,127.0719352,결식아동,아이 본인만,구움과자류,제과점,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png
475,노원구,달인보쌈,서울 노원구 동일로 1598,지층,12,11:30~21:30,15:00~17:00,1,1,,1,,99,마늘보쌈도시락,37.67105614,127.0563999,결식아동,아이 본인만,마늘보쌈도시락,음식점,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png
405,노원구,슈마스터태릉점,서울 노원구 동일로173가길 25,효영빌딩 102호,12,09~20,일요밀 휴무,3,2,,"01,02,99","산악구조대, 산림청,",1,,37.61941061,127.0732331,"결식아동,독거노인,산악구조대, 산림청,",동반 1인,,생활용품점,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/405/a054fb144a25454ca46ce01a7fd4666f.jpg
892,노원구,용인대금메달태권도,서울 노원구 동일로250길 18,상가동 2층 201호 용인대금메달태권,12,12:00 ~ 22:00,토. 일. 공휴일,2,1,,"01,99",사회적배려대상자,1,,37.68184246,127.0569993,"결식아동,사회적배려대상자",아이 본인만,,,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png
559,노원구,카툰공감 노원역점,서울 노원구 상계로 65,현성빌딩 지하1층 B04호,12,10:00-02:00,연중무휴,99,1,,"01,02",,1,,37.65635432,127.0622496,"결식아동,독거노인",아이 본인만,,카페,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/559/409b717763484fdf80115a8a01dc0453.png
1061,노원구,미소한가득,서울 노원구 석계로9길 10,1층 미소한가득,12,12:00~19:00,"일,월,화,공휴일",99,1,,"01,02",,99,보틀케이크 2개,37.61759699,127.0634673,"결식아동,독거노인",아이 본인만,보틀케이크 2개,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/1061/bedfa2beaf6442418823fac34e015158.jpg
985,노원구,이리로,서울 노원구 하계동 208-19,1층이리로레스토랑,12,11시30분 ㅡ5시,없음,1,1,,1,,99,"돈가스,파스타",37.63887505,127.0702955,결식아동,아이 본인만,"돈가스,파스타",,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/985/c1689da9f9bc43c9953d4f2b12d88d75.jpg
329,노원구,카페거실,서울 노원구 화랑로47길 9,1층 카페거실,12,확인요망,,1,1,,"01,02",,99,음료메뉴 전부,37.61574588,127.0666312,"결식아동,독거노인",아이 본인만,음료메뉴 전부,카페,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/329/2dc2c98f464643679c3b743aa607401b.jpeg
359,도봉구,족발야시장창동역점,서울 도봉구 노해로69길 21-11,영진빌딩 106호,11,"평일오후4시-12시 주말,휴일오전11시~밤 12시",둘째넷째 화요일 휴무,1,3,,1,,2,,37.65310992,127.0500754,결식아동,동반 2인,,족발/보쌈집,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/359/42539d24a9fd48c0a51a654d3278e5a7.jpg
808,도봉구,워너비굿즈,서울 도봉구 도당로 76,405호,11,확인요망,"토,일",99,2,,99,마스크가 필요한 어린이,99,어린이 구리사마스크,37.66457204,127.0359669,마스크가 필요한 어린이,동반 1인,어린이 구리사마스크,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/808/31e5440a253240889804e9dea0e5e05e.jpg
